service,op,data.side,data.symbol,data.qty,data.price
orders,new,Buy,TSLA,1,105.01
orders,new,Buy,TSLA,2,105.02
orders,new,Buy,TSLA,3,105.03
orders,new,Buy,TSLA,4,105.04
orders,new,Buy,TSLA,5,105.05
orders,new,Buy,TSLA,6,105.06
orders,new,Buy,TSLA,7,105.07
orders,new,Buy,TSLA,8,105.08
orders,new,Buy,TSLA,9,105.09
orders,new,Buy,TSLA,10,105.10
orders,new,Buy,TSLA,11,105.11
orders,new,Buy,TSLA,12,105.12
orders,new,Buy,TSLA,13,105.13
orders,new,Buy,TSLA,14,105.14
orders,new,Buy,TSLA,15,105.15
orders,new,Buy,TSLA,16,105.16
orders,new,Buy,TSLA,17,105.17
orders,new,Buy,TSLA,18,105.18
orders,new,Buy,TSLA,19,105.19
orders,new,Buy,TSLA,20,105.20
orders,new,Buy,TSLA,21,105.21
orders,new,Buy,TSLA,22,105.22
orders,new,Buy,TSLA,23,105.23
orders,new,Buy,TSLA,24,105.24
orders,new,Buy,TSLA,25,105.25
orders,new,Buy,TSLA,26,105.26
orders,new,Buy,TSLA,27,105.27
orders,new,Buy,TSLA,28,105.28
orders,new,Buy,TSLA,29,105.29
orders,new,Buy,TSLA,30,105.30
orders,new,Buy,TSLA,31,105.31
orders,new,Buy,TSLA,32,105.32
orders,new,Buy,TSLA,33,105.33
orders,new,Buy,TSLA,34,105.34
orders,new,Buy,TSLA,35,105.35
orders,new,Buy,TSLA,36,105.36
orders,new,Buy,TSLA,37,105.37
orders,new,Buy,TSLA,38,105.38
orders,new,Buy,TSLA,39,105.39
orders,new,Buy,TSLA,40,105.40
orders,new,Buy,TSLA,41,105.41
orders,new,Buy,TSLA,42,105.42
orders,new,Buy,TSLA,43,105.43
orders,new,Buy,TSLA,44,105.44
orders,new,Buy,TSLA,45,105.45
orders,new,Buy,TSLA,46,105.46
orders,new,Buy,TSLA,47,105.47
orders,new,Buy,TSLA,48,105.48
orders,new,Buy,TSLA,49,105.49
orders,new,Buy,TSLA,50,105.50
orders,new,Buy,TSLA,51,105.51
orders,new,Buy,TSLA,52,105.52
orders,new,Buy,TSLA,53,105.53
orders,new,Buy,TSLA,54,105.54
orders,new,Buy,TSLA,55,105.55
orders,new,Buy,TSLA,56,105.56
orders,new,Buy,TSLA,57,105.57
orders,new,Buy,TSLA,58,105.58
orders,new,Buy,TSLA,59,105.59
orders,new,Buy,TSLA,60,105.60
orders,new,Buy,TSLA,61,105.61
orders,new,Buy,TSLA,62,105.62
orders,new,Buy,TSLA,63,105.63
orders,new,Buy,TSLA,64,105.64
orders,new,Buy,TSLA,65,105.65
orders,new,Buy,TSLA,66,105.66
orders,new,Buy,TSLA,67,105.67
orders,new,Buy,TSLA,68,105.68
orders,new,Buy,TSLA,69,105.69
orders,new,Buy,TSLA,70,105.70
orders,new,Buy,TSLA,71,105.71
orders,new,Buy,TSLA,72,105.72
orders,new,Buy,TSLA,73,105.73
orders,new,Buy,TSLA,74,105.74
orders,new,Buy,TSLA,75,105.75
orders,new,Buy,TSLA,76,105.76
orders,new,Buy,TSLA,77,105.77
orders,new,Buy,TSLA,78,105.78
orders,new,Buy,TSLA,79,105.79
orders,new,Buy,TSLA,80,105.80
orders,new,Buy,TSLA,81,105.81
orders,new,Buy,TSLA,82,105.82
orders,new,Buy,TSLA,83,105.83
orders,new,Buy,TSLA,84,105.84
orders,new,Buy,TSLA,85,105.85
orders,new,Buy,TSLA,86,105.86
orders,new,Buy,TSLA,87,105.87
orders,new,Buy,TSLA,88,105.88
orders,new,Buy,TSLA,89,105.89
orders,new,Buy,TSLA,90,105.90
orders,new,Buy,TSLA,91,105.91
orders,new,Buy,TSLA,92,105.92
orders,new,Buy,TSLA,93,105.93
orders,new,Buy,TSLA,94,105.94
orders,new,Buy,TSLA,95,105.95
orders,new,Buy,TSLA,96,105.96
orders,new,Buy,TSLA,97,105.97
orders,new,Buy,TSLA,98,105.98
orders,new,Buy,TSLA,99,105.99
orders,new,Buy,TSLA,100,106.00
orders,new,Buy,TSLA,101,106.01
orders,new,Buy,TSLA,102,106.02
orders,new,Buy,TSLA,103,106.03
orders,new,Buy,TSLA,104,106.04
orders,new,Buy,TSLA,105,106.05
orders,new,Buy,TSLA,106,106.06
